gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
965794039	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS211387849	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	Pluvialis apricaria		SPECIES	Pluvialis apricaria (Linnaeus, 1758)	Pluvialis apricaria		GB	Solway Coast	England	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	54.92976	-3.323669							2013-09-19	19	9	2013	2480332	2480332	HUMAN_OBSERVATION	CLO	EBIRD	OBS211387849				CC_BY_4_0		obsr422887			2025-02-05T00:30:42.527Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
965332596	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS210624972	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	Pluvialis apricaria		SPECIES	Pluvialis apricaria (Linnaeus, 1758)	Pluvialis apricaria		GB	Anthorn, Solway Coast	England	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	54.90665	-3.283062							2013-09-12	12	9	2013	2480332	2480332	HUMAN_OBSERVATION	CLO	EBIRD	OBS210624972				CC_BY_4_0		obsr422887			2025-02-05T00:30:38.883Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
964688107	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS210111128	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	Pluvialis apricaria		SPECIES	Pluvialis apricaria (Linnaeus, 1758)	Pluvialis apricaria		GB	Port Carlisle	England	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	54.94662	-3.182172							2013-09-07	7	9	2013	2480332	2480332	HUMAN_OBSERVATION	CLO	EBIRD	OBS210111128				CC_BY_4_0		obsr422887			2025-02-05T03:49:04.693Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
963847158	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS209323966	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	Pluvialis apricaria		SPECIES	Pluvialis apricaria (Linnaeus, 1758)	Pluvialis apricaria		GB	Port Carlisle	England	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	54.94662	-3.182172							2013-08-30	30	8	2013	2480332	2480332	HUMAN_OBSERVATION	CLO	EBIRD	OBS209323966				CC_BY_4_0		obsr422887			2025-02-05T03:49:01.490Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
963277006	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS208693614	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	Pluvialis apricaria		SPECIES	Pluvialis apricaria (Linnaeus, 1758)	Pluvialis apricaria		GB	Port Carlisle	England	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	54.94662	-3.182172							2013-08-21	21	8	2013	2480332	2480332	HUMAN_OBSERVATION	CLO	EBIRD	OBS208693614				CC_BY_4_0		obsr422887			2025-02-05T03:48:59.202Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
963166379	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS209950315	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	Pluvialis apricaria		SPECIES	Pluvialis apricaria (Linnaeus, 1758)	Pluvialis apricaria		GB	Burgh Marshes, Solway Coast	England	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	54.927536	-3.087158							2012-01-01	1	1	2012	2480332	2480332	HUMAN_OBSERVATION	CLO	EBIRD	OBS209950315				CC_BY_4_0		obsr422887			2025-02-05T03:49:04.109Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
962737904	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS208003501	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	Pluvialis apricaria		SPECIES	Pluvialis apricaria (Linnaeus, 1758)	Pluvialis apricaria		GB	Campfield Marsh RSPB Reserve	England	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	54.941532	-3.254485							2013-01-02	2	1	2013	2480332	2480332	HUMAN_OBSERVATION	CLO	EBIRD	OBS208003501				CC_BY_4_0		obsr422887			2025-02-05T03:48:57.158Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
954324570	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS198654620	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	Pluvialis apricaria		SPECIES	Pluvialis apricaria (Linnaeus, 1758)	Pluvialis apricaria		GB	WWT Caerlaverock Wetlands Centre	Scotland	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	54.976616	-3.478846							1993-01-06	6	1	1993	2480332	2480332	HUMAN_OBSERVATION	CLO	EBIRD	OBS198654620				CC_BY_4_0		obsr352263			2025-02-05T03:48:17.027Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
954324316	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS198653897	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	Pluvialis apricaria		SPECIES	Pluvialis apricaria (Linnaeus, 1758)	Pluvialis apricaria		GB	Northumberland NP -- Grindon Lough	England	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	55.003475	-2.305997							1993-01-06	6	1	1993	2480332	2480332	HUMAN_OBSERVATION	CLO	EBIRD	OBS198653897				CC_BY_4_0		obsr352263			2025-02-05T03:48:17.062Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
952449305	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS196427458	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	Pluvialis apricaria		SPECIES	Pluvialis apricaria (Linnaeus, 1758)	Pluvialis apricaria		GB	WWT Caerlaverock Wetlands Centre	Scotland	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	54.976616	-3.478846							1991-01-02	2	1	1991	2480332	2480332	HUMAN_OBSERVATION	CLO	EBIRD	OBS196427458				CC_BY_4_0		obsr352263			2025-02-05T03:48:09.424Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
